Participant ID,ISO2 country code,ISO3,Power Distance,Individualism,Masculinity,Uncertainty Avoidance,Long Term Orientation,Indulgence
p1,AE,ARE,74,36,52,66,22,22
p2,AE,ARE,74,36,52,66,22,22
p3,AE,ARE,74,36,52,66,22,22
p4,AE,ARE,74,36,52,66,22,22
p5,AE,ARE,74,36,52,66,22,22
p6,AE,ARE,74,36,52,66,22,22
p7,AE,ARE,74,36,52,66,22,22
p8,AE,ARE,74,36,52,66,22,22
p9,AE,ARE,74,36,52,66,22,22
p10,AE,ARE,74,36,52,66,22,22
p11,AE,ARE,74,36,52,66,22,22
p12,AE,ARE,74,36,52,66,22,22
p13,AE,ARE,74,36,52,66,22,22
p14,AE,ARE,74,36,52,66,22,22
p15,AE,ARE,74,36,52,66,22,22
p16,AE,ARE,74,36,52,66,22,22
p17,AE,ARE,74,36,52,66,22,22
p18,AE,ARE,74,36,52,66,22,22
p19,AE,ARE,74,36,52,66,22,22
p20,AE,ARE,74,36,52,66,22,22
p21,AE,ARE,74,36,52,66,22,22
p22,AE,ARE,74,36,52,66,22,22
p23,AE,ARE,74,36,52,66,22,22
p24,AE,ARE,74,36,52,66,22,22
p25,AE,ARE,74,36,52,66,22,22
p26,AE,ARE,74,36,52,66,22,22
p27,AE,ARE,74,36,52,66,22,22
p28,AE,ARE,74,36,52,66,22,22
p29,AE,ARE,74,36,52,66,22,22
p30,AE,ARE,74,36,52,66,22,22
p31,AE,ARE,74,36,52,66,22,22
p32,AE,ARE,74,36,52,66,22,22
p33,AE,ARE,74,36,52,66,22,22
p34,AE,ARE,74,36,52,66,22,22
p35,AE,ARE,74,36,52,66,22,22
p36,AE,ARE,74,36,52,66,22,22
p37,AE,ARE,74,36,52,66,22,22
p38,AE,ARE,74,36,52,66,22,22
p39,AE,ARE,74,36,52,66,22,22
p40,AE,ARE,74,36,52,66,22,22
p41,AE,ARE,74,36,52,66,22,22
p42,AE,ARE,74,36,52,66,22,22
p43,AE,ARE,74,36,52,66,22,22
p44,AE,ARE,74,36,52,66,22,22
p45,AE,ARE,74,36,52,66,22,22
p46,AE,ARE,74,36,52,66,22,22
p47,AE,ARE,74,36,52,66,22,22
p48,AE,ARE,74,36,52,66,22,22
p49,AE,ARE,74,36,52,66,22,22
p50,AE,ARE,74,36,52,66,22,22
p51,AE,ARE,74,36,52,66,22,22
p52,AE,ARE,74,36,52,66,22,22
p53,AE,ARE,74,36,52,66,22,22
p54,AE,ARE,74,36,52,66,22,22
p55,AE,ARE,74,36,52,66,22,22
p56,AE,ARE,74,36,52,66,22,22
p57,AE,ARE,74,36,52,66,22,22
p58,AE,ARE,74,36,52,66,22,22
p59,AE,ARE,74,36,52,66,22,22
p60,AE,ARE,74,36,52,66,22,22
p61,AE,ARE,74,36,52,66,22,22
p62,AE,ARE,74,36,52,66,22,22
p63,AE,ARE,74,36,52,66,22,22
p64,AE,ARE,74,36,52,66,22,22
p65,AE,ARE,74,36,52,66,22,22
p66,AE,ARE,74,36,52,66,22,22
p67,AE,ARE,74,36,52,66,22,22
p68,AE,ARE,74,36,52,66,22,22
p69,AE,ARE,74,36,52,66,22,22
p70,AE,ARE,74,36,52,66,22,22
p71,AE,ARE,74,36,52,66,22,22
p72,AE,ARE,74,36,52,66,22,22
p73,AE,ARE,74,36,52,66,22,22
p74,AE,ARE,74,36,52,66,22,22
p75,AE,ARE,74,36,52,66,22,22
p76,AE,ARE,74,36,52,66,22,22
p77,AE,ARE,74,36,52,66,22,22
p78,AE,ARE,74,36,52,66,22,22
p79,AE,ARE,74,36,52,66,22,22
p80,AE,ARE,74,36,52,66,22,22
p81,AE,ARE,74,36,52,66,22,22
p82,AE,ARE,74,36,52,66,22,22
p83,AE,ARE,74,36,52,66,22,22
p84,AE,ARE,74,36,52,66,22,22
p85,AE,ARE,74,36,52,66,22,22
p86,AE,ARE,74,36,52,66,22,22
p87,AE,ARE,74,36,52,66,22,22
p88,AE,ARE,74,36,52,66,22,22
p89,AE,ARE,74,36,52,66,22,22
p90,AE,ARE,74,36,52,66,22,22
p91,AE,ARE,74,36,52,66,22,22
p92,AE,ARE,74,36,52,66,22,22
p93,AE,ARE,74,36,52,66,22,22
p94,AE,ARE,74,36,52,66,22,22
p95,AE,ARE,74,36,52,66,22,22
p96,AE,ARE,74,36,52,66,22,22
p97,AE,ARE,74,36,52,66,22,22
p98,AE,ARE,74,36,52,66,22,22
p99,AE,ARE,74,36,52,66,22,22
p100,AE,ARE,74,36,52,66,22,22
p101,AE,ARE,74,36,52,66,22,22
p102,AE,ARE,74,36,52,66,22,22
p103,AE,ARE,74,36,52,66,22,22
p104,AE,ARE,74,36,52,66,22,22
p105,AE,ARE,74,36,52,66,22,22
p106,AE,ARE,74,36,52,66,22,22
p107,AE,ARE,74,36,52,66,22,22
p108,AE,ARE,74,36,52,66,22,22
p109,AE,ARE,74,36,52,66,22,22
p110,AE,ARE,74,36,52,66,22,22
p111,AE,ARE,74,36,52,66,22,22
p112,AE,ARE,74,36,52,66,22,22
p113,AE,ARE,74,36,52,66,22,22
p114,AE,ARE,74,36,52,66,22,22
p115,AE,ARE,74,36,52,66,22,22
p116,AE,ARE,74,36,52,66,22,22
p117,AE,ARE,74,36,52,66,22,22
p118,AE,ARE,74,36,52,66,22,22
p119,AE,ARE,74,36,52,66,22,22
p120,AE,ARE,74,36,52,66,22,22
p121,AE,ARE,74,36,52,66,22,22
p122,AE,ARE,74,36,52,66,22,22
p123,AE,ARE,74,36,52,66,22,22
p124,AE,ARE,74,36,52,66,22,22
p125,AE,ARE,74,36,52,66,22,22
p126,AE,ARE,74,36,52,66,22,22
p127,AE,ARE,74,36,52,66,22,22
p128,AE,ARE,74,36,52,66,22,22
p129,AE,ARE,74,36,52,66,22,22
p130,AE,ARE,74,36,52,66,22,22
p131,AE,ARE,74,36,52,66,22,22
p132,AE,ARE,74,36,52,66,22,22
p133,AE,ARE,74,36,52,66,22,22
p134,AE,ARE,74,36,52,66,22,22
p135,AE,ARE,74,36,52,66,22,22
p136,AE,ARE,74,36,52,66,22,22
p137,AE,ARE,74,36,52,66,22,22
p138,AE,ARE,74,36,52,66,22,22
p139,AE,ARE,74,36,52,66,22,22
p140,AE,ARE,74,36,52,66,22,22
p141,AE,ARE,74,36,52,66,22,22
p142,AE,ARE,74,36,52,66,22,22
p143,AE,ARE,74,36,52,66,22,22
p144,AE,ARE,74,36,52,66,22,22
p145,AE,ARE,74,36,52,66,22,22
p146,AE,ARE,74,36,52,66,22,22
p147,AE,ARE,74,36,52,66,22,22
p148,AE,ARE,74,36,52,66,22,22
p149,AE,ARE,74,36,52,66,22,22
p150,AE,ARE,74,36,52,66,22,22
p151,AE,ARE,74,36,52,66,22,22
p152,AE,ARE,74,36,52,66,22,22
